Wall time,Step,Value
1648214002.209044,0,0.5550000071525574
1648214055.136049,1,0.5991666913032532
1648214107.743302,2,0.6075000166893005
1648214160.312384,3,0.6033333539962769
1648214212.83291,4,0.6133333444595337
1648214265.593355,5,0.6170833110809326
1648214317.785468,6,0.6041666865348816
1648214370.066569,7,0.637499988079071
1648214422.53168,8,0.6270833611488342
1648214475.199013,9,0.6579166650772095
1648214527.801858,10,0.6583333611488342
1648214580.044343,11,0.6837499737739563
1648214632.500205,12,0.6941666603088379
1648214684.808373,13,0.6899999976158142
1648214736.852362,14,0.7037500143051147
1648214789.56092,15,0.7020833492279053
1648214841.76185,16,0.7049999833106995
1648214894.4302,17,0.71875
1648214946.419998,18,0.7041666507720947
1648214999.036743,19,0.7116666436195374
1648215051.224718,20,0.7225000262260437
1648215103.505616,21,0.7520833611488342
1648215155.835783,22,0.7308333516120911
1648215208.184445,23,0.7408333420753479
1648215260.174541,24,0.752916693687439
1648215312.78995,25,0.7370833158493042
1648215364.952299,26,0.746666669845581
1648215417.700147,27,0.7458333373069763
1648215469.88577,28,0.7408333420753479
1648215522.492114,29,0.7454166412353516
1648215574.542904,30,0.762499988079071
1648215627.207914,31,0.7612500190734863
1648215679.48969,32,0.7649999856948853
1648215731.877459,33,0.7645833492279053
1648215783.964619,34,0.7683333158493042
1648215836.040638,35,0.7633333206176758
1648215888.1706,36,0.7562500238418579
1648215940.21758,37,0.7649999856948853
1648215992.31474,38,0.7612500190734863
1648216044.753421,39,0.7574999928474426
1648216097.063628,40,0.7541666626930237
1648216149.283493,41,0.7787500023841858
1648216201.509761,42,0.7720833420753479
1648216253.66806,43,0.7649999856948853
1648216305.85169,44,0.7683333158493042
1648216357.939765,45,0.7679166793823242
1648216410.252222,46,0.7795833349227905
1648216462.306355,47,0.7837499976158142
1648216514.570749,48,0.7908333539962769
1648216566.713695,49,0.7616666555404663
1648216618.840621,50,0.7762500047683716
1648216670.799716,51,0.7879166603088379
1648216723.092846,52,0.7774999737739563
1648216775.928298,53,0.7729166746139526
1648216828.143194,54,0.7795833349227905
1648216880.628535,55,0.7929166555404663
1648216932.758743,56,0.7879166603088379
1648216985.02074,57,0.7837499976158142
1648217037.044946,58,0.784166693687439
1648217089.230183,59,0.7875000238418579
1648217141.323709,60,0.7825000286102295
1648217193.452926,61,0.7987499833106995
1648217245.632174,62,0.79666668176651
