Wall time,Step,Value
1649289288.778617,0,0.5716666579246521
1649289343.764175,1,0.625
1649289400.250937,2,0.6316666603088379
1649289456.010512,3,0.6508333086967468
1649289511.161505,4,0.70291668176651
1649289566.564597,5,0.699999988079071
1649289622.89264,6,0.7008333206176758
1649289678.107727,7,0.7325000166893005
1649289734.846892,8,0.7275000214576721
1649289790.393275,9,0.7179166674613953
1649289847.642805,10,0.7520833611488342
1649289903.83624,11,0.768750011920929
1649289958.661005,12,0.7512500286102295
1649290014.232868,13,0.768750011920929
1649290069.542273,14,0.8058333396911621
1649290125.79779,15,0.7583333253860474
1649290181.721283,16,0.7733333110809326
1649290238.539084,17,0.8129166960716248
1649290294.47861,18,0.8054166436195374
1649290349.901986,19,0.7991666793823242
1649290405.076464,20,0.8241666555404663
1649290460.863449,21,0.8483333587646484
1649290516.395185,22,0.8341666460037231
1649290571.57616,23,0.8454166650772095
1649290627.504572,24,0.8758333325386047
1649290682.507044,25,0.8462499976158142
1649290738.986502,26,0.8500000238418579
1649290794.980137,27,0.871666669845581
1649290851.364511,28,0.8399999737739563
1649290907.321638,29,0.8487499952316284
1649290962.782441,30,0.862500011920929
1649291018.835367,31,0.8849999904632568
1649291073.958841,32,0.8675000071525574
1649291130.569151,33,0.871666669845581
1649291186.387802,34,0.8837500214576721
1649291241.961671,35,0.8766666650772095
1649291296.437794,36,0.8633333444595337
1649291351.460085,37,0.8933333158493042
1649291407.05138,38,0.8858333230018616
1649291462.123884,39,0.8899999856948853
1649291517.424131,40,0.8774999976158142
1649291572.730045,41,0.9008333086967468
1649291628.180529,42,0.8862500190734863
1649291684.301769,43,0.8391666412353516
1649291739.55089,44,0.8245833516120911
1649291794.909133,45,0.871666669845581
1649291850.310715,46,0.8799999952316284
1649291906.198203,47,0.8995833396911621
1649291963.042922,48,0.8820833563804626
1649292017.012626,49,0.8866666555404663
1649292072.604338,50,0.8933333158493042
1649292127.729054,51,0.8970833420753479
1649292183.264464,52,0.8912500143051147
1649292239.296384,53,0.8899999856948853
1649292295.192648,54,0.9145833253860474
1649292350.693588,55,0.8954166769981384
1649292406.027148,56,0.903333306312561
1649292461.678467,57,0.8991666436195374
1649292516.934431,58,0.9087499976158142
1649292574.188899,59,0.8941666483879089
1649292630.497637,60,0.9070833325386047
1649292685.976213,61,0.9041666388511658
1649292741.661646,62,0.9104166626930237
1649292797.332612,63,0.902916669845581
1649292852.42153,64,0.9112499952316284
1649292907.747448,65,0.9037500023841858
1649292963.506802,66,0.9120833277702332
1649293019.091168,67,0.9112499952316284
1649293074.745013,68,0.9016666412353516
1649293130.822423,69,0.909583330154419
1649293186.799789,70,0.9162499904632568
1649293241.490609,71,0.9295833110809326
1649293297.336995,72,0.9129166603088379
1649293353.039892,73,0.9070833325386047
1649293408.250136,74,0.9175000190734863
1649293464.100654,75,0.9175000190734863
1649293519.084689,76,0.9041666388511658
1649293574.675953,77,0.9154166579246521
1649293630.393396,78,0.9154166579246521
1649293685.927193,79,0.9125000238418579
1649293741.926233,80,0.9133333563804626
1649293797.390679,81,0.9183333516120911
1649293852.004822,82,0.9204166531562805
1649293906.570971,83,0.9137499928474426
